TRANSACTIONID,ACCOUNTID,ACCOUNTTYPEID,CUSTOMERID,CUSTOMERTYPEID,PRODUCTID,PRODUCTCATEGORYID,PROFITCENTERID,VERSION,DATE,VALUE
1,FPA1/022,INC,#,#,#,#,US10_PCC1L,Actual,20181201,0
2,FPA1/022,INC,#,#,#,#,US10_PCC1S,Actual,20181201,0
3,FPA1/022,INC,#,#,#,#,US10_PCC2L,Actual,20181201,0
4,FPA1/022,INC,#,#,#,#,US10_PCC2S,Actual,20181201,0
5,FPA1/022,INC,#,#,#,#,US10_PCC3L,Actual,20181201,12342
6,FPA1/022,INC,#,#,#,#,US10_PCC3S,Actual,20181201,1936
7,FPA1/022,INC,#,#,#,#,US10_PCM1L,Actual,20181201,0
8,FPA1/022,INC,#,#,#,#,US10_PCM1S,Actual,20181201,0
9,FPA1/022,INC,#,#,#,#,US10_PCM2L,Actual,20181201,0
10,FPA1/022,INC,#,#,#,#,US10_PCM2S,Actual,20181201,0
11,FPA1/022,INC,#,#,#,#,US10_PCM3L,Actual,20181201,0
12,FPA1/022,INC,#,#,#,#,US10_PCM3S,Actual,20181201,0
13,FPA1/022,INC,#,#,#,#,US10_PCR1L,Actual,20181201,0
14,FPA1/022,INC,#,#,#,#,US10_PCR1S,Actual,20181201,0
15,FPA1/022,INC,#,#,#,#,US10_PCR2L,Actual,20181201,0
16,FPA1/022,INC,#,#,#,#,US10_PCR2S,Actual,20181201,0
17,FPA1/022,INC,#,#,#,#,US10_PCR3L,Actual,20181201,0
18,FPA1/022,INC,#,#,#,#,US10_PCR3S,Actual,20181201,0
19,FPA1/022,INC,#,#,#,#,US10_PCY1L,Actual,20181201,42735
20,FPA1/022,INC,#,#,#,#,US10_PCY1S,Actual,20181201,10510
21,FPA1/022,INC,#,#,#,#,US10_PCY2L,Actual,20181201,17028
22,FPA1/022,INC,#,#,#,#,US10_PCY2S,Actual,20181201,11550
23,FPA1/022,INC,#,#,#,#,US10_PCY3L,Actual,20181201,25960
24,FPA1/022,INC,#,#,#,#,US10_PCY3S,Actual,20181201,3960
25,FPA1/022,INC,#,#,#,#,US10_PCC1L,Actual,20191201,0
26,FPA1/022,INC,#,#,#,#,US10_PCC1S,Actual,20191201,0
27,FPA1/022,INC,#,#,#,#,US10_PCC2L,Actual,20191201,0
28,FPA1/022,INC,#,#,#,#,US10_PCC2S,Actual,20191201,0
29,FPA1/022,INC,#,#,#,#,US10_PCC3L,Actual,20191201,15303
30,FPA1/022,INC,#,#,#,#,US10_PCC3S,Actual,20191201,2400
31,FPA1/022,INC,#,#,#,#,US10_PCM1L,Actual,20191201,0
32,FPA1/022,INC,#,#,#,#,US10_PCM1S,Actual,20191201,0
33,FPA1/022,INC,#,#,#,#,US10_PCM2L,Actual,20191201,0
34,FPA1/022,INC,#,#,#,#,US10_PCM2S,Actual,20191201,0
35,FPA1/022,INC,#,#,#,#,US10_PCM3L,Actual,20191201,0
36,FPA1/022,INC,#,#,#,#,US10_PCM3S,Actual,20191201,0
37,FPA1/022,INC,#,#,#,#,US10_PCR1L,Actual,20191201,0
38,FPA1/022,INC,#,#,#,#,US10_PCR1S,Actual,20191201,0
39,FPA1/022,INC,#,#,#,#,US10_PCR2L,Actual,20191201,0
40,FPA1/022,INC,#,#,#,#,US10_PCR2S,Actual,20191201,0
41,FPA1/022,INC,#,#,#,#,US10_PCR3L,Actual,20191201,0
42,FPA1/022,INC,#,#,#,#,US10_PCR3S,Actual,20191201,0
43,FPA1/022,INC,#,#,#,#,US10_PCY1L,Actual,20191201,52990
44,FPA1/022,INC,#,#,#,#,US10_PCY1S,Actual,20191201,13032
45,FPA1/022,INC,#,#,#,#,US10_PCY2L,Actual,20191201,21114
46,FPA1/022,INC,#,#,#,#,US10_PCY2S,Actual,20191201,14321
47,FPA1/022,INC,#,#,#,#,US10_PCY3L,Actual,20191201,32190
48,FPA1/022,INC,#,#,#,#,US10_PCY3S,Actual,20191201,4910
49,FPA1/022,INC,17100001,Z3,MZ-FG-E108,FG,Z_LOG_PC7,Actual,20181001,5500
50,FPA1/022,INC,17100001,Z3,MZ-FG-E108,FG,Z_LOG_PC7,Actual,20191001,6819
51,FPA1/022,INC,17100001,Z3,MZ-FG-E108,FG,Z_LOG_PC7,Actual,20200501,25000
52,FPA1/022,INC,17100001,Z3,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20181001,13860
53,FPA1/022,INC,17100001,Z3,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20191001,17186
54,FPA1/022,INC,17100001,Z3,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20181001,40040
55,FPA1/022,INC,17100001,Z3,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20191001,49649
56,FPA1/022,INC,17100001,Z3,MZ-TG-A27,TM,Z_LOG_PC11,Actual,20181001,605
57,FPA1/022,INC,17100001,Z3,MZ-TG-A27,TM,Z_LOG_PC11,Actual,20191001,750
58,FPA1/022,INC,17100002,Z3,MZ-FG-E108,FG,Z_LOG_PC7,Actual,20200501,0
59,FPA1/022,INC,CACU_S01,Z1,MZ-FG-C990,CR,US10_PCC1S,Actual,20190201,8266
60,FPA1/022,INC,CACU_S01,Z1,MZ-FG-C990,CR,US10_PCC1S,Actual,20200201,10250
61,FPA1/022,INC,CACU_S01,Z1,MZ-FG-M500,MT,US10_PCM3S,Actual,20190201,7823
62,FPA1/022,INC,CACU_S01,Z1,MZ-FG-M500,MT,US10_PCM3S,Actual,20200201,9700
63,FPA1/022,INC,CACU_S01,Z1,MZ-FG-M525,MT,US10_PCM2S,Actual,20190201,12220
64,FPA1/022,INC,CACU_S01,Z1,MZ-FG-M525,MT,US10_PCM2S,Actual,20200201,15152
65,FPA1/022,INC,CACU_S01,Z1,MZ-FG-R200,RC,US10_PCR2S,Actual,20190201,30623
66,FPA1/022,INC,CACU_S01,Z1,MZ-FG-R200,RC,US10_PCR2S,Actual,20200201,37971
67,FPA1/022,INC,CACU_S01,Z1,MZ-FG-R300,RC,US10_PCR1S,Actual,20190201,59606
68,FPA1/022,INC,CACU_S01,Z1,MZ-FG-R300,RC,US10_PCR1S,Actual,20200201,73910
69,FPA1/022,INC,CACU_S02,Z1,MZ-FG-R100,RC,US10_PCR3S,Actual,20190201,4661
70,FPA1/022,INC,CACU_S02,Z1,MZ-FG-R100,RC,US10_PCR3S,Actual,20200201,5779
71,FPA1/022,INC,CACU_S02,Z1,MZ-TG-Y240,YH,US10_PCY3S,Actual,20190201,1672
72,FPA1/022,INC,CACU_S02,Z1,MZ-TG-Y240,YH,US10_PCY3S,Actual,20200201,2073
73,FPA1/022,INC,CACU_S03,Z1,MZ-FG-C900,CR,US10_PCC3S,Actual,20190201,3872
74,FPA1/022,INC,CACU_S03,Z1,MZ-FG-C900,CR,US10_PCC3S,Actual,20200201,4801
75,FPA1/022,INC,CACU_S03,Z1,MZ-FG-C950,CR,US10_PCC2S,Actual,20190201,5940
76,FPA1/022,INC,CACU_S03,Z1,MZ-FG-C950,CR,US10_PCC2S,Actual,20200201,7365
77,FPA1/022,INC,CACU_S03,Z1,MZ-FG-M550,MT,US10_PCM1S,Actual,20190201,29968
78,FPA1/022,INC,CACU_S03,Z1,MZ-FG-M550,MT,US10_PCM1S,Actual,20200201,37160
79,FPA1/022,INC,CACU_S03,Z1,MZ-TG-Y120,YH,US10_PCY1S,Actual,20190201,654
80,FPA1/022,INC,CACU_S03,Z1,MZ-TG-Y120,YH,US10_PCY1S,Actual,20200201,811
81,FPA1/022,INC,CACU_S03,Z1,MZ-TG-Y200,YH,US10_PCY2S,Actual,20190201,1056
82,FPA1/022,INC,CACU_S03,Z1,MZ-TG-Y200,YH,US10_PCY2S,Actual,20200201,1309
83,FPA1/022,INC,CACU_S04,Z1,MZ-FG-M525,MT,US10_PCM2S,Actual,20190201,13965
84,FPA1/022,INC,CACU_S04,Z1,MZ-FG-M525,MT,US10_PCM2S,Actual,20200201,17317
85,FPA1/022,INC,CACU_S04,Z1,MZ-FG-R100,RC,US10_PCR3S,Actual,20190201,4661
86,FPA1/022,INC,CACU_S04,Z1,MZ-FG-R100,RC,US10_PCR3S,Actual,20200201,5779
87,FPA1/022,INC,CACU_S04,Z1,MZ-FG-R200,RC,US10_PCR2S,Actual,20190201,30623
88,FPA1/022,INC,CACU_S04,Z1,MZ-FG-R200,RC,US10_PCR2S,Actual,20200201,37971
89,FPA1/022,INC,CACU_S04,Z1,MZ-FG-R300,RC,US10_PCR1S,Actual,20190201,55348
90,FPA1/022,INC,CACU_S04,Z1,MZ-FG-R300,RC,US10_PCR1S,Actual,20200201,68630
91,FPA1/022,INC,CACU_S04,Z1,MZ-TG-Y120,YH,US10_PCY1S,Actual,20190201,385
92,FPA1/022,INC,CACU_S04,Z1,MZ-TG-Y120,YH,US10_PCY1S,Actual,20200201,477
93,FPA1/022,INC,CACU_S04,Z1,MZ-TG-Y200,YH,US10_PCY2S,Actual,20190201,1122
94,FPA1/022,INC,CACU_S04,Z1,MZ-TG-Y200,YH,US10_PCY2S,Actual,20200201,1391
95,FPA1/022,INC,CACU_S05,Z1,MZ-FG-C950,CR,US10_PCC2S,Actual,20190201,5197
96,FPA1/022,INC,CACU_S05,Z1,MZ-FG-C950,CR,US10_PCC2S,Actual,20200201,6444
97,FPA1/022,INC,CACU_S05,Z1,MZ-FG-C990,CR,US10_PCC1S,Actual,20190201,9368
98,FPA1/022,INC,CACU_S05,Z1,MZ-FG-C990,CR,US10_PCC1S,Actual,20200201,11617
99,FPA1/022,INC,CACU_S05,Z1,MZ-FG-M500,MT,US10_PCM3S,Actual,20190201,7823
100,FPA1/022,INC,CACU_S05,Z1,MZ-FG-M500,MT,US10_PCM3S,Actual,20200201,9700
101,FPA1/022,INC,CACU_S05,Z1,MZ-FG-M550,MT,US10_PCM1S,Actual,20190201,32109
102,FPA1/022,INC,CACU_S05,Z1,MZ-FG-M550,MT,US10_PCM1S,Actual,20200201,39814
103,FPA1/022,INC,CACU_S05,Z1,MZ-TG-Y240,YH,US10_PCY3S,Actual,20190201,1232
104,FPA1/022,INC,CACU_S05,Z1,MZ-TG-Y240,YH,US10_PCY3S,Actual,20200201,1527
105,FPA1/022,INC,LACU_S01,Z1,MZ-FG-C900,CR,US10_PCC3S,Actual,20190201,4114
106,FPA1/022,INC,LACU_S01,Z1,MZ-FG-C900,CR,US10_PCC3S,Actual,20200201,5101
107,FPA1/022,INC,LACU_S01,Z1,MZ-TG-Y120,YH,US10_PCY1S,Actual,20190201,693
108,FPA1/022,INC,LACU_S01,Z1,MZ-TG-Y120,YH,US10_PCY1S,Actual,20200201,859
109,FPA1/022,INC,LACU_S01,Z1,MZ-TG-Y240,YH,US10_PCY3S,Actual,20190201,1232
110,FPA1/022,INC,LACU_S01,Z1,MZ-TG-Y240,YH,US10_PCY3S,Actual,20200201,1527
111,FPA1/022,INC,LACU_S02,Z1,MZ-TG-Y200,YH,US10_PCY2S,Actual,20190201,726
112,FPA1/022,INC,LACU_S02,Z1,MZ-TG-Y200,YH,US10_PCY2S,Actual,20200201,900
113,FPA1/022,INC,LACU_S03,Z1,MZ-FG-C900,CR,US10_PCC3S,Actual,20190201,4114
114,FPA1/022,INC,LACU_S03,Z1,MZ-FG-C900,CR,US10_PCC3S,Actual,20200201,5101
115,FPA1/022,INC,LACU_S03,Z1,MZ-FG-C950,CR,US10_PCC2S,Actual,20190201,5940
116,FPA1/022,INC,LACU_S03,Z1,MZ-FG-C950,CR,US10_PCC2S,Actual,20200201,7365
117,FPA1/022,INC,LACU_S03,Z1,MZ-FG-M525,MT,US10_PCM2S,Actual,20190201,12220
118,FPA1/022,INC,LACU_S03,Z1,MZ-FG-M525,MT,US10_PCM2S,Actual,20200201,15152
119,FPA1/022,INC,LACU_S04,Z1,MZ-FG-M500,MT,US10_PCM3S,Actual,20190201,6845
120,FPA1/022,INC,LACU_S04,Z1,MZ-FG-M500,MT,US10_PCM3S,Actual,20200201,8488
121,FPA1/022,INC,LACU_S04,Z1,MZ-FG-M550,MT,US10_PCM1S,Actual,20190201,25687
122,FPA1/022,INC,LACU_S04,Z1,MZ-FG-M550,MT,US10_PCM1S,Actual,20200201,31851
123,FPA1/022,INC,LACU_S04,Z1,MZ-FG-R100,RC,US10_PCR3S,Actual,20190201,3729
124,FPA1/022,INC,LACU_S04,Z1,MZ-FG-R100,RC,US10_PCR3S,Actual,20200201,4623
125,FPA1/022,INC,LACU_S04,Z1,MZ-FG-R200,RC,US10_PCR2S,Actual,20190201,24061
126,FPA1/022,INC,LACU_S04,Z1,MZ-FG-R200,RC,US10_PCR2S,Actual,20200201,29835
127,FPA1/022,INC,LACU_S04,Z1,MZ-FG-R300,RC,US10_PCR1S,Actual,20190201,46833
128,FPA1/022,INC,LACU_S04,Z1,MZ-FG-R300,RC,US10_PCR1S,Actual,20200201,58072
129,FPA1/022,INC,LACU_S05,Z1,MZ-FG-C990,CR,US10_PCC1S,Actual,20190201,9368
130,FPA1/022,INC,LACU_S05,Z1,MZ-FG-C990,CR,US10_PCC1S,Actual,20200201,11617
131,FPA1/022,INC,LACU_S05,Z1,MZ-TG-Y120,YH,US10_PCY1S,Actual,20190201,500
132,FPA1/022,INC,LACU_S05,Z1,MZ-TG-Y120,YH,US10_PCY1S,Actual,20200201,620
133,FPA1/022,INC,LACU_S05,Z1,MZ-TG-Y200,YH,US10_PCY2S,Actual,20190201,990
134,FPA1/022,INC,LACU_S05,Z1,MZ-TG-Y200,YH,US10_PCY2S,Actual,20200201,1227
135,FPA1/022,INC,LACU_S05,Z1,MZ-TG-Y240,YH,US10_PCY3S,Actual,20190201,1232
136,FPA1/022,INC,LACU_S05,Z1,MZ-TG-Y240,YH,US10_PCY3S,Actual,20200201,1527
137,FPA1/022,INC,USCU-CUS07,Z1,MZ-FG-E15,FG,Z_LOG_PC7,Actual,20181001,5
138,FPA1/022,INC,USCU-CUS07,Z1,MZ-FG-E15,FG,Z_LOG_PC7,Actual,20190301,330
139,FPA1/022,INC,USCU-CUS07,Z1,MZ-FG-E15,FG,Z_LOG_PC7,Actual,20191001,6
140,FPA1/022,INC,USCU-CUS07,Z1,MZ-FG-E15,FG,Z_LOG_PC7,Actual,20200301,409
141,FPA1/022,INC,USCU-CUS08,Z1,MZ-FG-E16,FG,Z_LOG_PC7,Actual,20180401,770
142,FPA1/022,INC,USCU-CUS08,Z1,MZ-FG-E16,FG,Z_LOG_PC7,Actual,20180901,385
143,FPA1/022,INC,USCU-CUS08,Z1,MZ-FG-E16,FG,Z_LOG_PC7,Actual,20181001,770
144,FPA1/022,INC,USCU-CUS08,Z1,MZ-FG-E16,FG,Z_LOG_PC7,Actual,20190401,954
145,FPA1/022,INC,USCU-CUS08,Z1,MZ-FG-E16,FG,Z_LOG_PC7,Actual,20190901,477
146,FPA1/022,INC,USCU-CUS08,Z1,MZ-FG-E16,FG,Z_LOG_PC7,Actual,20191001,954
147,FPA1/022,INC,USCU-CUS09,Z1,MZ-FG-E17,FG,Z_LOG_PC7,Actual,20181001,412
148,FPA1/022,INC,USCU-CUS09,Z1,MZ-FG-E17,FG,Z_LOG_PC7,Actual,20191001,511
149,FPA1/022,INC,USCU-CUS23,Z1,MZ-FG-C21,FG,Z_LOG_PC7,Actual,20181001,30247337
150,FPA1/022,INC,USCU-CUS23,Z1,MZ-FG-C21,FG,Z_LOG_PC7,Actual,20191001,37505830
151,FPA1/022,INC,USCU-CUS23,Z1,MZ-FG-E15,FG,Z_LOG_PC7,Actual,20181001,13227988
152,FPA1/022,INC,USCU-CUS23,Z1,MZ-FG-E15,FG,Z_LOG_PC7,Actual,20190301,16500197
153,FPA1/022,INC,USCU-CUS23,Z1,MZ-FG-E15,FG,Z_LOG_PC7,Actual,20191001,16402326
154,FPA1/022,INC,USCU-CUS23,Z1,MZ-FG-E15,FG,Z_LOG_PC7,Actual,20200301,20459771
155,FPA1/022,INC,USCU-CUS25,Z1,MZ-TG-A20,FG,Z_LOG_PC11,Actual,20180401,99
156,FPA1/022,INC,USCU-CUS25,Z1,MZ-TG-A20,FG,Z_LOG_PC11,Actual,20190201,0
157,FPA1/022,INC,USCU-CUS25,Z1,MZ-TG-A20,FG,Z_LOG_PC11,Actual,20190401,122
158,FPA1/022,INC,USCU-CUS36,Z1,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20180701,192
159,FPA1/022,INC,USCU-CUS36,Z1,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20181001,231002
160,FPA1/022,INC,USCU-CUS36,Z1,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20190701,238
161,FPA1/022,INC,USCU-CUS36,Z1,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20191001,286436
162,FPA1/022,INC,USCU-CUS36,Z1,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20180701,165441
163,FPA1/022,INC,USCU-CUS36,Z1,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20181001,55000
164,FPA1/022,INC,USCU-CUS36,Z1,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20190701,205143
165,FPA1/022,INC,USCU-CUS36,Z1,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20191001,68199
166,FPA1/022,INC,USCU-CUS54,Z3,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20181001,38
167,FPA1/022,INC,USCU-CUS54,Z3,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20191001,47
168,FPA1/022,INC,USCU-CUS54,Z3,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20181001,6600
169,FPA1/022,INC,USCU-CUS54,Z3,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20191001,8183
170,FPA1/022,INC,USCU-CUS55,Z3,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20181001,5775
171,FPA1/022,INC,USCU-CUS55,Z3,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20191001,7160
172,FPA1/022,INC,USCU-CUS55,Z3,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20181001,0
173,FPA1/022,INC,USCU-CUS55,Z3,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20191001,0
174,FPA1/022,INC,USCU-CUS63,Z3,MZ-TG-A25,TM,Z_LOG_PC11,Actual,20200401,0
175,FPA1/022,INC,USCU-CUS63,Z3,MZ-TG-A26,TM,Z_LOG_PC11,Actual,20200401,400
176,FPA1/022,INC,USCU-L-001,Z3,MZ-FG-C10,FG,Z_LOG_PC7,Actual,20181001,22
177,FPA1/022,INC,USCU-L-001,Z3,MZ-FG-C10,FG,Z_LOG_PC7,Actual,20191001,27
178,FPA1/022,INC,USCU-P-008,Z1,MZ-FG-P010,RB,Z_LOG_PC7,Actual,20181001,385
179,FPA1/022,INC,USCU-P-008,Z1,MZ-FG-P010,RB,Z_LOG_PC7,Actual,20191001,477
180,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180401,163835
181,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180501,62678
182,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180601,37026
183,FPA1/022,INC,USCU_L01,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180701,18392
